origen,prueba_desde,tarea,H,metodo,semilla,mase_medio,mase_mediano,mase_rel_medio,mase_rel_mediano,ic95,n_series,n_entrena,n_prueba,epocas,mejor_epoca,grad_inicio,grad_final
3,2022-01-24,nivel,1,cero,,1.5690666437149048,1.539592981338501,1.0,1.0,0.0,272,126936,6528,,,,
3,2022-01-24,nivel,1,deriva,,1.5855517387390137,1.5693027973175049,1.0103119611740112,1.008967638015747,0.0023217421552798067,272,126936,6528,,,,
3,2022-01-24,nivel,1,ingenua,,2.072639226913452,1.99635648727417,1.3250797986984253,1.308335542678833,0.023586211778520494,272,126936,6528,,,,
3,2022-01-24,nivel,1,regresion agrupada,,1.6096515655517578,1.5888023376464844,1.0271410942077637,1.0278260707855225,0.00586387820607467,272,126936,6528,,,,
3,2022-01-24,nivel,1,LSTM,0.0,1.599799394607544,1.5736186504364014,1.0196596384048462,1.018061637878418,0.004987470322213827,272,126936,6528,9.0,2.0,0.07081176650864372,0.16745021748506733
3,2022-01-24,nivel,1,LSTM,1.0,1.6601790189743042,1.6123803853988647,1.055877447128296,1.0476676225662231,0.007071071286755514,272,126936,6528,23.0,16.0,0.07230209574974593,0.28117361175076616
3,2022-01-24,nivel,5,cero,,1.4258629083633423,1.3894131183624268,1.0,1.0,0.0,272,126664,6528,,,,
3,2022-01-24,nivel,5,deriva,,1.439862847328186,1.4096460342407227,1.009608268737793,1.0101263523101807,0.0012476920385484753,272,126664,6528,,,,
3,2022-01-24,nivel,5,ingenua,,1.9830039739608765,1.9553186893463135,1.3867669105529785,1.388344645500183,0.014588725041580963,272,126664,6528,,,,
3,2022-01-24,nivel,5,regresion agrupada,,1.4607428312301636,1.4279909133911133,1.0242830514907837,1.023282766342163,0.002518238052718865,272,126664,6528,,,,
3,2022-01-24,nivel,5,LSTM,0.0,1.4377386569976807,1.401039719581604,1.0076957941055298,1.0061346292495728,0.001478678515042153,272,126664,6528,8.0,1.0,0.034966187604298496,0.07216933239439521
3,2022-01-24,nivel,5,LSTM,1.0,1.441638708114624,1.4079883098602295,1.0102243423461914,1.0085687637329102,0.001742874046635727,272,126664,6528,7.0,0.0,0.03660066413382689,0.07759779768836017
3,2022-01-24,nivel,10,cero,,1.4305099248886108,1.3982160091400146,1.0,1.0,0.0,272,126392,6256,,,,
3,2022-01-24,nivel,10,deriva,,1.4417355060577393,1.4084110260009766,1.0077552795410156,1.008284091949463,0.001247922096210921,272,126392,6256,,,,
3,2022-01-24,nivel,10,ingenua,,1.9762849807739258,1.9388368129730225,1.3779820203781128,1.3733835220336914,0.013009038224688288,272,126392,6256,,,,
3,2022-01-24,nivel,10,regresion agrupada,,1.4579139947891235,1.429600477218628,1.018877387046814,1.017792820930481,0.0024981748109403627,272,126392,6256,,,,
3,2022-01-24,nivel,10,LSTM,0.0,1.4428446292877197,1.4193326234817505,1.0080034732818604,1.0059142112731934,0.001240183259123981,272,126392,6256,7.0,0.0,0.02688700212014892,0.07088495271378442
3,2022-01-24,nivel,10,LSTM,1.0,1.4391638040542603,1.407543420791626,1.0055137872695923,1.004286527633667,0.0012010263607570083,272,126392,6256,7.0,0.0,0.026510137261498555,0.061472772258646814
3,2022-01-24,nivel,20,cero,,1.4515122175216675,1.4254682064056396,1.0,1.0,0.0,272,125848,5712,,,,
3,2022-01-24,nivel,20,deriva,,1.4594550132751465,1.4357388019561768,1.0054397583007812,1.0056451559066772,0.001123470839499577,272,125848,5712,,,,
3,2022-01-24,nivel,20,ingenua,,2.045022964477539,2.0204920768737793,1.4065217971801758,1.4041993618011475,0.013429963559953245,272,125848,5712,,,,
3,2022-01-24,nivel,20,regresion agrupada,,1.4758771657943726,1.4423620700836182,1.0161964893341064,1.0150468349456787,0.002414135887537447,272,125848,5712,,,,
3,2022-01-24,nivel,20,LSTM,0.0,1.4577091932296753,1.430055856704712,1.0038281679153442,1.002616047859192,0.0009003757248219178,272,125848,5712,7.0,0.0,0.01974443435986958,0.04347283110719144
3,2022-01-24,nivel,20,LSTM,1.0,1.4580157995224,1.4293019771575928,1.004102349281311,1.0035300254821777,0.0008307114524410536,272,125848,5712,7.0,0.0,0.01953588468514807,0.04136334273706728
3,2022-01-24,magnitud,1,volatilidad reciente,,1.4246315956115723,1.3824890851974487,1.0,1.0,0.0,272,126936,6528,,,,
3,2022-01-24,magnitud,1,persistencia,,1.857601523399353,1.7943651676177979,1.3152977228164673,1.2891852855682373,0.026642490667030668,272,126936,6528,,,,
3,2022-01-24,magnitud,1,regresion agrupada,,1.445838451385498,1.4004642963409424,1.0173516273498535,1.0223493576049805,0.008139604988924012,272,126936,6528,,,,
